Food product,Food name,Category,Land use change,Animal Feed,Farm,Processing,Transport,Packging,Retail,
Wheat & Rye (Bread),wheat & rye,plant,0.1,0.0,0.8,0.2,0.1,0.1,0.1,
Maize (Meal),corn,plant,0.3,0.0,0.5,0.1,0.1,0.1,0.0,
Barley (Beer),beer,other,0.0,0.0,0.2,0.1,0.0,0.5,0.3,
Oatmeal,outmeal,plant,0.0,0.0,1.4,0.0,0.1,0.1,0.0,
Rice,rice,plant,0.0,0.0,3.6,0.1,0.1,0.1,0.1,
Potatoes,potatoes,vegetable,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Cassava,cassava,plant,0.6,0.0,0.2,0.0,0.1,0.0,0.0,
Cane Sugar,cane sugar,other,1.2,0.0,0.5,0.0,0.8,0.1,0.0,
Beet Sugar,beet sugar,other,0.0,0.0,0.5,0.2,0.6,0.1,0.0,
Other Pulses,pulses,plant,0.0,0.0,1.1,0.0,0.1,0.4,0.0,
Peas,peas,plant,0.0,0.0,0.7,0.0,0.1,0.0,0.0,
Nuts,nuts,plant,-2.1,0.0,2.1,0.0,0.1,0.1,0.0,
Groundnuts,groundnuts,plant,0.4,0.0,1.4,0.4,0.1,0.1,0.0,
Soymilk,soy milk,other,0.2,0.0,0.1,0.2,0.1,0.1,0.3,
Tofu,tofu,other,1.0,0.0,0.5,0.8,0.2,0.2,0.3,
Soybean Oil,soybean oil,oil,3.1,0.0,1.5,0.3,0.3,0.8,0.0,
Palm Oil,palm oil,oil,3.1,0.0,2.1,1.3,0.2,0.9,0.0,
Sunflower Oil,sunflower oil,oil,0.1,0.0,2.1,0.2,0.2,0.9,0.0,
Rapeseed Oil,rapeseed oil,oil,0.2,0.0,2.3,0.2,0.2,0.8,0.0,
Olive Oil,olive oil,oil,-0.4,0.0,4.3,0.7,0.5,0.9,0.0,
Tomatoes,tomatoes,vegetable,0.4,0.0,0.7,0.0,0.2,0.1,0.0,
Onions & Leeks,onions,vegetable,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Root Vegetables,carrot,vegetable,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Brassicas,cabbage,vegetable,0.0,0.0,0.3,0.0,0.1,0.0,0.0,
Other Vegetables,other vegetables,vegetable,0.0,0.0,0.2,0.1,0.2,0.0,0.0,
Citrus Fruit,citrus fruit,vegetable,-0.1,0.0,0.3,0.0,0.1,0.0,0.0,
Bananas,bananas,vegetable,0.0,0.0,0.3,0.1,0.3,0.1,0.0,
Apples,apples,vegetable,0.0,0.0,0.2,0.0,0.1,0.0,0.0,
Berries & Grapes,barries & grapes,vegetable,0.0,0.0,0.7,0.0,0.2,0.2,0.0,
Wine,wine,other,-0.1,0.0,0.6,0.1,0.1,0.7,0.0,
Other Fruit,other fruits,vegetable,0.1,0.0,0.4,0.0,0.2,0.0,0.0,
Coffee,coffee,other,3.7,0.0,10.4,0.6,0.1,1.6,0.1,
Dark Chocolate,dark chocolate,other,14.3,0.0,3.7,0.2,0.1,0.4,0.0,
Beef (beef herd),beef(meat),meat,16.3,1.9,39.4,1.3,0.3,0.2,0.2,
Beef (dairy herd),beef(diary),meat,0.9,2.5,15.7,1.1,0.4,0.3,0.2,
Lamb & Mutton,lamb & mutton,meat,0.5,2.4,19.5,1.1,0.5,0.3,0.2,
Pig Meat,pork,meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,
Poultry Meat,chicken,meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,
Milk,milk,animal,0.5,0.2,1.5,0.1,0.1,0.1,0.3,
Cheese,cheese,animal,4.5,2.3,13.1,0.7,0.1,0.2,0.3,
Eggs,eggs,animal,0.7,2.2,1.3,0.0,0.1,0.2,0.0,
Fish (farmed),fish,meat,0.5,0.8,3.6,0.0,0.1,0.1,0.0,
Shrimps (farmed),shrimps,meat,0.2,2.5,8.4,0.0,0.2,0.3,0.2,
